TwoClass	FourClass	ID	Text	https	http	Trump	people	police	country	America	President	Obama	Donald	state	U.S.	government	children	law	veterans	Americans	Hillary	time	day	God	Clinton	man	border	years	States	flag	world	refugees	illegals	life	immigration	nation	way	today	history	United	New	nothing	heroes	Muslims	citizens	freedom	video	war	immigrants	officer	lives	woman	officers	year	family	aliens	home	House	security	rights	media	care	benefits	times	soldiers	things	morning	men	American	school	cops	women	politicians	attack	something	news	Islam	patriots	money	terrorists	parents	city	thing	laws	criminals	Muslim	attacks	Black	child	York	wall	policy	share	right	administration	welfare	everyone	percentage	liberals	part	health	thousands	office
F	FNF	FN_FB_BPAT_1	"At least 50,000 homeless veterans are starving dying in the streets, but liberals want to invite 620,000 refugees and settle them among us. We have to take care of our own citizens, and it must be the primary goal for our politicians!"																-5													-2													2																	2											1																										-7				
F	FNF	FN_FB_LGBT_169	"People arenâ€™t always awful... Sometimes, theyâ€™re maybe even just a little bit wonderfulâ¤ï¸"				-4																																																																																																
F	FNF	FN_FB_BPAT_43	"ust compare these two stages and youâ€™ll see who is really standing for America. The Democratic leaders are turning their party into an anti-American one. Just look at that â€“ they donâ€™t even try to show a bit of devotion and loyalty to America! Thatâ€™s actually not surprising: plenty of Dem voters are not actually Americans and the Old Glory is something they find offensive. Add here the fact that they preferred to invite illegals and black radicals instead of law enforcement officers. Of course, Republicans arenâ€™t perfect too, and many of them are Republicans in name only, but at least Trump stands for America while Hillary wants to continue Obamaâ€™s plan of destroying our homeland.."			0				6								-4		-1	-3												-4																				-4																0						-1													-4															
F	FNF	FN_FB_LGBT_105	One of the best thing you can do to the Westboro Baptist Churchâ€¦ðŸ˜‚ðŸ‘ðŸ»ðŸ»																																																																																2																				
F	FNF	FN_FB_BPAT_334	"Lt. Col. Fred Flynn, a disabled veteran who served in Iraq and Afghanistan, was asked to leave a courtroom by a judge at the Bannock County Courthouse earlier this month because he was wearing his Army uniform. Thatâ€™s just outrageous, why couldnâ€™t the judge show some respect to a patriot who has served for 24 years of his life, putting his life at risk every day? When Obamaâ€™s gone, our veterans should be treated properly, with all care and honor that they deserve."																2				-2					0						-2																												2																																									
F	FNF	FN_FB_SBORD_31	"A decidedly deplorable Uncle Sam wants to know just how eager are we to fight on American soil â€“ because pretty soon it can happen. Many of us entertained the idea of going to war to fight ISIS. Today you don't even have to go to Syria - our Govt did all they could to ensure they'll be at least couple of extremists on every street. Indeed, what is the point of going to fight ISIS in Syria when the government is arming them? I mean what is the point of dying in a foreign land when we can die right here in our own soil fighting the same enemy! 'Thanks' to a recent refugee upsurge, they'll be no shortage of bombers, shooters, stabbers and other fanatical wackos any time soon. So instead of waging war overseas we'd better focus on safety and security of our homeland. Americans have to stand strong together and clean this house before it is too late!"													-3				0		-10																0										-5										1	1										0																									-10									
F	FNF	FN_FB_UNMUS-497	Many Non-Muslims and mainly Christians sometimes Mock how Muslims pray ... here is the surprise !!!																																									-2																																																											
F	FNF	FN_FB_BPAT_5	Itâ€™s simply unfair that the Government cares more about people who broke the immigration law than about heroes who served our beloved country.				1		6							-2		6																	6								4																																																												
F	FNF	FN_FB_LGBT_188	Me af ðŸ˜‚ðŸŒˆ I so love Thomas Sanders! He is absolutely awesome!! ðŸ˜																																																																																																				
F	FNF	FN_FB_BLACT_180	repost Blackslayingit																																																																																																				
F	FNF	FN_FB_BLACT_249	A disturbing video showing two Bronx cops repeatedly punching and kicking a black suspect in the head despite the fact that he was on the ground being pinned by two other cops.																																												-6																								-8																	-6															
F	FNF	FN_FB_BPAT_26	"â€œIt was my duty to shoot the enemy, and I don't regret it. My regrets are for the people I couldn't save: Marines, soldiers, buddies. I'm not naive, and I don't romanticize war. The worst moments of my life have come as a SEAL. But I can stand before God with a clear conscience about doing my job.â€ - Chris Kyle. If only our Government could perform their duty as perfectly as our soldiers do!"				-3									0								0										-3														-6																	-2																																						
F	FNF	FN_FB_BPAT_19	"Sgt. Dakota Meyer, 23, is the youngest Marine recipient of the Medal of Honor. He rescued 36 Marines and Afghan soldiers during six hours of combat. He was eventually wounded but was able to recover the bodies of his four teammates. Thank you for serving, sir."																																																														-2																																						
